GLOSS_ID,VALIDATED_ROOT,AIRCRAFT_NAME,WEBSITE_LINK,AIRCRAFT_TYPE,AIRCRAFT_SHORTNAME,AIRCRAFT_APPLICATION,AC_MISSION_COUNT
61,H-47,Boeing CH-47 Chinook,https://en.wikipedia.org/wiki/Boeing_CH-47_Chinook,Transport Helicopter,Chinook,"TRANSPORT, HELICOPTER",3
62,HC-130,Lockheed HC-130,https://en.wikipedia.org/wiki/Lockheed_HC-130,Rescue Aircraft,,RESCUE,6337
63,HC-47,Douglas C-47 Skytrain,https://en.wikipedia.org/wiki/Douglas_C-47_Skytrain,Military Transport aircraft,Skytrain,TRANSPORT,1076
64,HH-3,Sikorsky HH-3 Jolly Green Giant,http://www.militaryfactory.com/aircraft/detail.asp?aircraft_id=129,Search and Rescue Helicopter,Jolly Green Giant,"RESCUE, HELICOPTER",932
65,HH-43,Kaman HH-43 Huskie,http://www.militaryfactory.com/aircraft/detail.asp?aircraft_id=886,Rescue Helicopter,Huskie,"RESCUE, HELICOPTER",10443
66,HH-53,Sikorsky HH-53 Super Green Giant,https://en.wikipedia.org/wiki/Sikorsky_MH-53,Heavy-lift Helicopter,Super Green Giant,HELICOPTER,6973
67,KA3,Douglas A-3 Skywarrior,https://en.wikipedia.org/wiki/Douglas_A-3_Skywarrior,Strategic Bomber,Skywarrior,"STRATEGIC, BOMBER",7334
68,KC-135,Boeing KC-135 Stratotanker,https://en.wikipedia.org/wiki/Boeing_KC-135_Stratotanker,Aerial refuelling aircraft,Stratotanker,REFUEL,33490
69,L-19,Cessna L-19,https://en.wikipedia.org/wiki/Cessna_O-1_Bird_Dog,Observation Aircraft,Cessna,OBSERV,3
70,LC-130,Lockheed LC-130,https://en.wikipedia.org/wiki/Lockheed_LC-130,Military Transport aircraft,,TRANSPORT,1
71,NC-123,Fairchild C-123 Provider ,http://www.militaryfactory.com/aircraft/detail.asp?aircraft_id=657,Transport Aircraft,Provider,TRANSPORT,7
72,O-1,Cessna O-1 Bird Dog,https://en.wikipedia.org/wiki/Cessna_O-1_Bird_Dog,Observation Aircraft,Bird Dog,OBSERV,51010
73,O-2,Cessna O-2 Skymaster,https://en.wikipedia.org/wiki/Cessna_O-2_Skymaster,Observation Aircraft,Skymaster,OBSERV,31952
74,OH-6,Hughes OH-6 Cayuse,https://en.wikipedia.org/wiki/Hughes_OH-6_Cayuse,Light Observation Helicopter,Cayuse,"OBSERV, HELICOPTER",4
75,OV-1,Grumman OV-1 Mohawk,https://en.wikipedia.org/wiki/Grumman_OV-1_Mohawk,Observation/ Light Attack Aircraft,Mohawk,"ATTACK, OBSERV",10
76,OV-10,Rockwell OV-10 Bronco,http://www.militaryfactory.com/aircraft/detail.asp?aircraft_id=147,Observation/ Light Attack Aircraft,Bronco,"ATTACK, OBSERV",25958
77,P-3,Lockheed P-3 Orion,https://en.wikipedia.org/wiki/Lockheed_P-3_Orion,Maritime Patrol Aircraft,Orion,,23
78,QU-22,Beechcraft Bonanza,https://en.wikipedia.org/wiki/Beechcraft_Bonanza#QU-22_Pave_Eagle,Utility Aircraft,Bonanza,UTILITY,4717
79,R44,Robinson R44,https://en.wikipedia.org/wiki/Robinson_R44,Light Utility Helicopter,,"UTILITY, HELICOPTER",1
80,RA-3,Douglas A-3 Skywarrior,https://en.wikipedia.org/wiki/Douglas_A-3_Skywarrior,Strategic Bomber,Skywarrior,"STRATEGIC, BOMBER",563
81,RB-66,Douglas RB-66 Destroyer,http://www.militaryfactory.com/aircraft/detail.asp?aircraft_id=278,Light Bomber,Destroyer,BOMBER,1974
82,RC-135,Boeing RC-135,https://en.wikipedia.org/wiki/Boeing_RC-135,Reconnaissance Aircraft,,RECON,810
83,RC-47,Douglas C-47 Skytrain,https://en.wikipedia.org/wiki/Douglas_C-47_Skytrain,Photographic reconnaissance plane,Skytrain,RECON,7869
84,RF-101,McDonnell F-101 Voodoo,https://en.wikipedia.org/wiki/McDonnell_F-101_Voodoo,Fighter Jet,Voodoo,FIGHTER,71901
85,RF-4,McDonnell F-4 Phantom II,https://en.wikipedia.org/wiki/McDonnell_Douglas_F-4_Phantom_II,Fighter bomber jet,Phantom II,"FIGHTER, BOMBER",243259
86,RF-8,Vought F-8 Crusader,https://en.wikipedia.org/wiki/Vought_F-8_Crusader,Fighter jet ,Crusader,FIGHTER,11268
87,SH-3,Sikorsky SH-3 Sea King,https://en.wikipedia.org/wiki/Sikorsky_SH-3_Sea_King,Utility Helicopter,Sea King,"UTILITY, HELICOPTER",6345
88,T-28,T-28 Trojan Trainer,http://www.militaryfactory.com/aircraft/detail.asp?aircraft_id=728,Training Aircraft,Trojan Trainer,TRAIN,42090
89,T-29,Convair T-29 Samaritan,http://www.uswarplanes.net/t29c131.html,Training Aircraft,Samaritan,TRAIN,456
